id,title,speaker,abstract,track,score
PROP001,"Building Resilient Microservices with Go","Sarah Chen","In this talk, we'll explore patterns and practices for building robust microservices using Go. We'll cover circuit breakers, graceful degradation, and monitoring strategies that ensure your services can handle real-world failures.",Backend,
PROP002,"Modern Web Development with TypeScript","Alex Kumar","Discover how TypeScript transforms large-scale web development. From advanced type systems to tooling integration, learn how to leverage TypeScript for better developer experience and runtime safety.",Frontend,
PROP003,"Machine Learning Pipeline Optimization","Dr. Maria Rodriguez","Learn how to optimize ML pipelines for production environments. We'll discuss data preprocessing, model versioning, and deployment strategies that reduce latency while maintaining accuracy.",AI/ML,
PROP004,"Securing APIs in Cloud-Native Environments","James Wilson","API security is critical in distributed systems. This session covers authentication strategies, rate limiting, and monitoring techniques for protecting APIs in Kubernetes and serverless environments.",Security,
PROP005,"Real-time Data Processing with Apache Kafka","Lisa Wang","Explore advanced Kafka patterns for building scalable streaming applications. Topics include exactly-once processing, schema evolution, and monitoring kafka clusters at scale.",Data,
PROP006,"DevOps Culture: Beyond Tools and Automation","Michael Thompson","DevOps isn't just about tools - it's about culture and collaboration. Learn how to foster a DevOps mindset in your organization and measure success beyond deployment frequency.",DevOps,
PROP007,"GraphQL Federation at Scale","Emily Davis","Managing GraphQL schemas across multiple services presents unique challenges. We'll explore federation strategies, schema governance, and performance optimization techniques.",Backend,1850
PROP008,"Accessibility-First Design Systems","Robert Kim","Building inclusive digital experiences starts with design systems. Learn how to create accessible components and establish processes that put accessibility at the forefront of development.",Design,
PROP009,"Debugging Complex Distributed Systems","Anna Petrov","When microservices fail, debugging becomes exponentially harder. This talk covers observability tools, correlation techniques, and methodologies for tracking issues across service boundaries.",DevOps,
PROP010,"The Future of Edge Computing","David Zhang","Edge computing is reshaping how we think about distributed applications. Explore emerging patterns, performance considerations, and real-world use cases from IoT to CDNs.",Infrastructure,
PROP011,"Quantum Computing for Developers","","An introduction to quantum computing concepts for software developers. No physics PhD required - just curiosity about the future of computation and problem-solving.",Emerging Tech,
PROP012,"Event-Driven Architecture Patterns","Sophie Martin","Event-driven systems enable loose coupling and scalability. We'll examine different event patterns, consistency models, and how to avoid common pitfalls in distributed event systems.",Architecture,
PROP013,"Performance Optimization in React Applications","Carlos Mendez","React applications can become slow as they grow. Learn profiling techniques, optimization strategies, and architectural patterns that keep your React apps fast and responsive.",Frontend,
PROP014,"Container Security Best Practices","Jennifer Liu","Containers introduce new security vectors. This session covers image scanning, runtime protection, and security policies that protect containerized applications from development to production.",Security,
PROP015,"Sustainable Software Development","Tom Anderson","Writing code that's environmentally sustainable requires new thinking about efficiency and resource usage. Learn how to measure and reduce the carbon footprint of your applications.",Sustainability,
PROP016,"Advanced Git Workflows for Teams","Rachel Green","Git is more powerful than most teams realize. Explore advanced branching strategies, collaborative workflows, and automation techniques that improve team productivity and code quality.",Tools,
PROP017,"Blockchain Beyond Cryptocurrency","Hassan Ali","Blockchain technology has applications far beyond digital currency. Discover practical use cases in supply chain, identity verification, and decentralized applications.",Emerging Tech,
PROP018,"API Design for Longevity","Nicole Brown","Well-designed APIs last for years. Learn principles for creating APIs that evolve gracefully, maintain backward compatibility, and provide excellent developer experience over time.",Architecture,
PROP019,"Mobile App Performance Monitoring","Kevin Park","Mobile users expect instant responses. This talk covers performance monitoring strategies, optimization techniques, and tooling for maintaining fast mobile applications across devices.",Mobile,
PROP020,"The Psychology of Code Reviews","Amanda Foster","Code reviews are human interactions first, technical processes second. Learn how to give effective feedback, handle criticism constructively, and build team culture through code review practices.",Culture,950
PROP021,"Chaos Engineering in Practice","Mark Stevens","Breaking things on purpose might seem counterintuitive, but chaos engineering helps build more resilient systems. Learn how to implement chaos experiments safely and effectively.",Reliability,
PROP022,"Building Inclusive Tech Teams","Diana Silva","Diversity in tech teams leads to better products and innovations. Explore strategies for inclusive hiring, creating psychological safety, and building teams where everyone can thrive.",Diversity,
PROP023,"WebAssembly: The Future of Web Performance","Ryan O'Connor","WebAssembly opens new possibilities for web applications. Learn how to leverage WASM for performance-critical applications and integrate it with existing JavaScript workflows.",Web Tech,
PROP024,"Data Privacy in the Age of AI","Catherine Hughes","As AI systems become more prevalent, protecting user privacy becomes more challenging. Explore techniques like differential privacy, federated learning, and privacy-preserving analytics.",Privacy,2100
PROP025,"Microservices Testing Strategies","Jonathan Lee","Testing distributed systems requires new approaches. This session covers contract testing, service virtualization, and testing strategies that give confidence in microservices deployments.",Testing,
PROP026,"Building Developer Communities","Patricia Wright","Strong developer communities drive technology adoption. Learn how to build, nurture, and sustain communities that create value for both developers and your organization.",Community,
